DOCFEC;DOCSER;DOCNUM;CODALM;CODTER;DTOCAB;BASEBAS;IMPTBAS;RECBAS;FECORD;NUMORD;CODMAQ;MARCAD;FORPAG;PORFIN;RFDPP;PORBAS;OBSERV;FECFAC;NUMFAC;DESHOR;PREHOR;NUMKM;PREKM;TIPVEN;TIPFAC;PRESER;PRENUM;DIETENT;CLABLO;SERFAC;CODOPEGRA;CODOPEAUT;PORREA;KMREA;HORREA;DIETREA
16/12/1998;A8;000001;01;289;0;359,89;57,58;0;;;BRH;;11;0;0;0;;16/12/1998;000001;0;0;0;0;R;A;;;0;F;A8;AB;;0;0;0;0
17/12/1998;A8;000003;01;150;0;296,6;47,46;0;;;;;11;0;0;0;;31/12/1998;000003;0;0;0;0;R;P;;;0;F;A8;AB;;0;0;0;0
17/12/1998;A8;000004;01;29;0;111,19;17,79;0;;;;;11;0;0;0;;17/12/1998;000002;0;0;0;0;R;P;;;0;F;A8;;;0;0;0;0
28/12/1998;A8;000005;01;1;0;85,45;13,67;0;;;MOLINO;;1;0;0;0;;28/12/1998;000004;0;0;0;0;R;P;;;0;F;A8;AS;;0;0;0;0
09/12/1998;A8;000006;01;7;0;28,42;4,54;0;;;C.MORON PALA Nº3;;1;0;0;0;ALB.4436;31/12/1998;000008;0;0;0;0;R;P;;;0;F;A8;;;0;0;0;0
16/12/1998;A8;000007;01;1;0;8,71;1,39;0;;;325 B;;1;0;0;0;ALB-4444 VALE4654;31/12/1998;000006;0;0;0;0;R;P;;;0;F;A8;AS;;0;0;0;0
21/12/1998;A8;000008;01;1;0;93,76;15;0;;;PF2;;1;0;0;0;ALB4492 VALE 4653
;31/12/1998;000007;0;0;0;0;R;P;;;0;F;A8;AS;;0;0;0;0
30/12/1998;A8;000009;01;1;0;23,44;3,75;0;;;325 B;;1;0;0;0;ALB.4474 VALE 4032;30/12/1998;000005;0;0;0;0;R;P;;;0;F;A8;AS;;0;0;0;0
28/01/1999;A9;000001;01;50;0;5591,77;894,68;0;;;966;;42;0;0;0;SU PEDIDO 3000773/99;31/01/1999;000041;0;0;0;0;R;A;;;0;F;99;AS;;0;0;0;0
01/02/1999;A9;000002;01;387;0;30,28;4,84;0;;;V;;2;0;0;0;;28/02/1999;000104;0;0;0;0;R;P;;;0;F;99;AS;;0;0;0;0
19/01/1999;A9;000003;01;391;0;62,32;9,97;0;;;;;2;0;0;0;ALB. 4520 RETIRADO POR ENRIQUE;31/01/1999;000071;0;0;0;0;R;P;;;0;F;99;;;0;0;0;0
02/02/1999;A9;000004;01;33;0;66,26;10,6;0;;;;;42;0;0;0;;28/02/1999;000101;0;0;0;0;R;P;;;0;F;99;;;0;0;0;0
02/02/1999;A9;000005;01;1;0;32,76;5,24;0;;;;;1;0;0;0;;28/02/1999;000099;0;0;0;0;R;P;;;0;F;99;;;0;0;0;0
07/01/1999;A9;000006;01;1;0;30,65;4,9;0;;;325 B;;1;0;0;0;ALB.4488;31/01/1999;000038;0;0;0;0;R;P;;;0;F;99;AS;;0;0;0;0
11/01/1999;A9;000007;01;1;0;9,02;1,44;0;;;325 B;;1;0;0;0;;31/01/1999;000038;0;0;0;0;R;P;;;0;F;99;AS;;0;0;0;0
12/01/1999;A9;000008;01;1;0;114,4;18,31;0;;;325 B;;1;0;0;0;ALB.4504;31/01/1999;000038;0;0;0;0;R;P;;;0;F;99;;;0;0;0;0
19/01/1999;A9;000009;01;1;0;40,27;6,44;0;;;325 B;;1;0;0;0;ALB. 4519;31/01/1999;000038;0;0;0;0;R;P;;;0;F;99;;;0;0;0;0
21/01/1999;A9;000010;01;1;0;173,55;27,77;0;;;325 B;;1;0;0;0;ALB. 4528;31/01/1999;000038;0;0;0;0;R;P;;;0;F;99;AS;;0;0;0;0
20/01/1999;A9;000011;01;1;0;12,62;2,02;0;;;CMP.3;;1;0;0;0;ALB.4562;31/01/1999;000039;0;0;0;0;R;P;;;0;F;99;AS;;0;0;0;0
02/12/1998;A9;000012;01;387;0;19,53;3,13;0;;;V;;2;0;0;0;;31/01/1999;000031;0;0;0;0;R;P;;;0;F;99;AS;;0;0;0;0
18/12/1998;A8;000010;01;387;0;5,99;0,96;0;;;V;;2;0;0;0;ALBARAN 4451;31/01/1999;000030;0;0;0;0;R;P;;;0;F;99;;;0;0;0;0
28/12/1998;A8;000011;01;387;0;193,78;31,01;0;;;V;;2;0;0;0;ALB. 4468;31/01/1999;000030;0;0;0;0;R;P;;;0;F;99;;;0;0;0;0
30/12/1998;A8;000012;01;387;0;1,14;0,18;0;;;V;;2;0;0;0;ALB. 4473;31/01/1999;000030;0;0;0;0;R;P;;;0;F;99;AS;;0;0;0;0
