NUMTAR;DOCFEC;DOCSER;DOCNUM;DESTAR;IMPOBRA;IMPMAT;MARCA
01;16/12/1998;A8;000001;VTA. DE REPUESTOS;0;359,89;N
01;17/12/1998;A8;000003;VTA. DE REPUESTOS;0;296,6;N
01;17/12/1998;A8;000004;VTA. DE REPUESTOS;0;111,19;N
01;28/12/1998;A8;000005;VTA. DE REPUESTOS;0;85,45;N
01;09/12/1998;A8;000006;VTA. DE REPUESTOS;0;28,42;N
01;16/12/1998;A8;000007;VTA. DE REPUESTOS;0;8,71;N
01;21/12/1998;A8;000008;VTA. DE REPUESTOS;0;93,76;N
01;30/12/1998;A8;000009;VTA. DE REPUESTOS;0;23,44;N
01;28/01/1999;A9;000001;VTA. DE REPUESTOS;0;5591,77;N
01;01/02/1999;A9;000002;VTA. DE REPUESTOS;0;30,28;N
01;19/01/1999;A9;000003;VTA. DE REPUESTOS;0;62,32;N
01;02/02/1999;A9;000004;VTA. DE REPUESTOS;0;66,26;N
01;02/02/1999;A9;000005;VTA. DE REPUESTOS;0;32,76;N
01;07/01/1999;A9;000006;VTA. DE REPUESTOS;0;30,65;N
01;11/01/1999;A9;000007;VTA. DE REPUESTOS;0;9,02;N
01;12/01/1999;A9;000008;VTA. DE REPUESTOS;0;114,4;N
01;19/01/1999;A9;000009;VTA. DE REPUESTOS;0;40,27;N
01;21/01/1999;A9;000010;VTA. DE REPUESTOS;0;173,55;N
01;20/01/1999;A9;000011;VTA. DE REPUESTOS;0;12,62;N
01;02/12/1998;A9;000012;VTA. DE REPUESTOS;0;19,53;N
01;18/12/1998;A8;000010;VTA. DE REPUESTOS;0;5,99;N
01;28/12/1998;A8;000011;VTA. DE REPUESTOS;0;193,78;N
01;30/12/1998;A8;000012;VTA. DE REPUESTOS;0;1,14;N
01;04/01/1999;A9;000013;VTA. DE REPUESTOS;0;12,02;N
01;08/01/1999;A9;000014;VTA. DE REPUESTOS;0;79,75;N
01;15/01/1999;A9;000015;VTA. DE REPUESTOS;0;3,85;N
01;19/01/1999;A9;000016;VTA. DE REPUESTOS;0;8,74;N
01;25/01/1999;A9;000017;VTA. DE REPUESTOS;0;28,85;N
01;26/01/1999;A9;000018;VTA. DE REPUESTOS;0;68,21;N
01;03/02/1999;A9;000021;VTA. DE REPUESTOS;0;606,57;N
01;04/02/1999;A9;000022;VTA. DE REPUESTOS;0;17,99;N
01;24/10/2005;51;000001;VTA. DE REPUESTOS;0;21,51;N
01;24/10/2005;51;000002;VTA. DE REPUESTOS;0;12,74;N
01;15/11/2005;51;000003;VTA. DE REPUESTOS;0;32,41;N
01;25/10/2005;51;000004;VTA. DE REPUESTOS;0;30,46;N
01;25/10/2005;51;000005;VTA. DE REPUESTOS;0;10,2;N
01;26/10/2005;51;000006;VTA. DE REPUESTOS;0;3;N
01;26/10/2005;51;000007;VTA. DE REPUESTOS;0;19,94;N
01;26/10/2005;51;000008;VTA. DE REPUESTOS;0;10,1;N
01;27/10/2005;51;000009;VTA. DE REPUESTOS;0;6,2;N
01;28/10/2005;51;000010;VTA. DE REPUESTOS;0;34,82;N
01;28/10/2005;51;000011;VTA. DE REPUESTOS;0;16,13;N
01;28/10/2005;51;000012;VTA. DE REPUESTOS;0;10,96;N
01;31/10/2005;51;000013;VTA. DE REPUESTOS;0;7,55;N
01;31/10/2005;51;000014;VTA. DE REPUESTOS;0;19,33;N
01;02/11/2005;51;000015;VTA. DE REPUESTOS;0;33,95;N
