NUMTAR;CODALM;CODPDT;DESPDT;DOCFEC;DOCSER;DOCNUM;CANFACT;CANREAL;DTOMAT;CODMOD;PORIMP;PORREC;PVP;LINMATE;MARCA
02;01;4928-1650313;DISCO ACERO;07/04/2009;90;000232;3;3;0;01;16;4;79,95;00075;S
02;01;4928-1650412;RODAMIENTO AGUJA;07/04/2009;90;000232;1;1;0;01;16;4;5,65;00080;S
02;01;4928-1650413;RODAMIENTO AGUJA;07/04/2009;90;000232;1;1;0;01;16;4;47,06;00085;S
02;01;4928-1650416;RODAMIENTO AGUJA;07/04/2009;90;000232;1;1;0;01;16;4;22,1;00090;S
02;01;4928-181451;RODAMIENTO BOLA;07/04/2009;90;000232;1;1;0;01;16;4;130,65;00095;S
02;01;4928-4780941;SENSOR DE TRANSMISION;07/04/2009;90;000232;1;1;0;01;16;4;91,5;00100;S
02;01;4928-7019463;RODAMIENTO BOLA;07/04/2009;90;000232;1;1;0;01;16;4;133,28;00105;S
02;01;4928-983460;TORICA;07/04/2009;90;000232;0;1;0;01;16;4;28,54;00110;S
02;01;4928-11038264;VALVULA SOLENOIDE;07/04/2009;90;000232;1;0;0;01;16;4;430,3;00115;N
02;01;4928-11145401;CAPTADOR A40D;07/04/2009;90;000232;1;0;0;01;16;4;249,4;00120;N
02;01;4928-11145596;ACOPLAMIENTO;07/04/2009;90;000232;1;0;0;01;16;4;1172,89;00125;N
02;01;4928-1650317;DISCO ACERO;07/04/2009;90;000232;2;0;0;01;16;4;47,58;00130;N
02;01;4928-1650692;RETARDE;07/04/2009;90;000232;1;0;0;01;16;4;1432,73;00135;N
02;01;4928-1650774;VALVULA SOLENOIDE A40D;07/04/2009;90;000232;1;0;0;01;16;4;132,34;00140;N
02;01;0S1595;TORNILLO W. 1/2-13 X 1.1/4;15/04/2009;90;000233;0;1;0;01;16;4;0,92556;00005;S
02;01;0T0055;TORNILLO W. 3/8-16 X 4.1/4;15/04/2009;90;000233;0;3;0;01;16;4;1,17;00010;S
02;01;1061792;ESPARRAGO;15/04/2009;90;000233;0;12;0;01;16;4;18,9;00015;S
02;01;1063-25X35;MANGUERA ACEITE HYDRO´K;15/04/2009;90;000233;0;1,2;0;01;16;4;12,05;00020;S
