NUMTAR;CODALM;CODPDT;DESPDT;DOCFEC;DOCSER;DOCNUM;CANFACT;CANREAL;DTOMAT;CODMOD;PORIMP;PORREC;PVP;LINMATE;MARCA
01;01;26141;PUNTERO TIPO PILON STD. 501;16/12/1998;A8;000001;1;1;0;01;16;4;359,88605;00005;N
01;01;8S3970;PRECAMARA 3304-6;17/12/1998;A8;000003;5;5;0;01;16;4;56,79564;00005;N
01;01;7S3206;JUNTA TORICA;17/12/1998;A8;000003;2;2;0;01;16;4;6,31063;00010;N
01;01;1214038;ACEITE MOTOR CAT 15W-40 PASA A 3E9838;17/12/1998;A8;000004;37;37;0;01;16;4;3,00506;00005;N
01;01;53888;TORNILLO DE ACERO 1"X120;28/12/1998;A8;000005;3;3;0;01;16;4;16,00495;00005;N
01;01;21834;TUERCA  DE ACERO 1";28/12/1998;A8;000005;6;6;0;01;16;4;6,23851;00010;N
01;01;6F9163;JUNTA;09/12/1998;A8;000006;4;4;0;01;16;4;7,10396;00005;N
01;01;LATIGUILLO;REMETER LATIGUILLO 1/2;16/12/1998;A8;000007;1;1;0;01;16;4;8,71468;00005;N
01;01;LATIGUILLO;CONSTRUCCION LATIGUILLO R2A 3/4 2150MM;21/12/1998;A8;000008;2;2;0;01;16;4;46,87894;00005;N
01;01;LATIGUILLO;CONSTRUCCION LATIGUILLO DE R7 2460MM;30/12/1998;A8;000009;1;1;0;01;16;4;23,43947;00005;N
01;01;4V5388;PIÑON;28/01/1999;A9;000001;1;1;0;01;16;4;2632,1265;00005;N
01;01;4V5393;CORONA;28/01/1999;A9;000001;1;1;0;01;16;4;2837,49234;00010;N
01;01;5P5813;TUERCA;28/01/1999;A9;000001;1;1;0;01;16;4;61,17702;00015;N
01;01;4V7173;ARANDELA O CONTRATUERCA;28/01/1999;A9;000001;1;1;0;01;16;4;14,23197;00020;N
01;01;5K2595;RETEN CENTRO CRUCETA;28/01/1999;A9;000001;1;1;0;01;16;4;21,35997;00025;N
