CODOPER;NUMTAR;DOCFEC;DOCSER;DOCNUM;DESCOP;HFACT;HREAL;DTOOBR;CODMOD;PORIMP;PORREC;PRETAR;LINOBRA;MARCA
800;01;22/10/1998;98;000019;DESPLAZAMIENTO A PARADAS REGULACION DE ORBITROL NUEVO EN MAQUINA;2;2;0;01;16;4;19,53289;005;S
101;01;22/10/1998;98;000020;DESMONTAR OLVITROL DE DIRECCION, REPARACION Y MONTAJE DEL MISMO;2,5;2,5;0;01;16;4;19,53289;005;S
800;02;22/10/1998;98;000020;MONTAJE DE ORBITROL EN MAQUINA;0;0;0;01;16;4;19,53289;005;S
800;01;28/10/1998;98;000021;DESPLAZAMIENTO A FABRICA, REPARAR INSTALACION DE MOTORES DE REFRIGERACION DE AIRE Y DESMONTAR MOTOR . ;4,5;4,5;0;01;16;4;21,63644;005;S
800;01;27/10/1998;98;000024;DESPLAZAMIENTO A FABRICA, DESMONTAR BOMBIN DE FRENOS DE LA MAQUINA Y COLOCACION DE UNO NUEVO.;6;6,5;0;01;16;4;22,97669;005;S
800;02;23/10/1998;98;000027;DESPLAZAMIENTO A BASE ALCALA, REPARAR CIRCUITO ELECTRICO DE MARTILLO Y ELECTROVALVULAS DE CARGA HIDRAULICA.;4;4;0;01;16;4;19,53289;005;S
101;01;09/11/1998;98;000030;DESPLAZAMIENTO A CANTERA, REVISION DE TEMPERATURA DE MOTOR POR FUGA DE AGUA EN ENFRIADOR DE TRANSMISION,.;4,3;4,48;0;01;16;4;19,53289;005;S
102;02;09/11/1998;98;000030;DESMONTAR ENFRIADOR DE MAQUINA, DESPIECE Y COMPROBACION. MONTAJE Y COLOCACION EN MAQUINA.;8;8,97;0;01;16;4;13,52277;005;S
101;01;17/11/1998;98;000033;DESMONTAR BOTELLA HIDRAULICA, COLOCACION DE KIT DE REPARACION DE SU PRPIEDAD Y MONTAJE DE LA MISMA..;6;4,98;15;01;16;4;19,53289;005;S
800;01;25/10/1998;98;000034;DESPLAZAMIENTO A FABRICA, REVISION DE BATERIA Y SUSTITUIR BORNAS DE LA MISMA;1,5;3;0;01;16;4;21,63644;005;S
800;01;06/11/1998;98;000035;DESMONTAR EMBOLO Y BARRA DE DIRECCION, SOLDAR Y REFORZAR BARRA Y MONTAJE EN MAQUNA.;7;8,5;0;01;16;4;21,63644;005;S
