CODALM;CODPDT;LOCALIZ;SISVAL;PVP1;PVP2;PVP3;PVP4;PVP5;PRESTA;PREULT;PREMED;CANEXI;CODPRV;STOCKMIN;STOCKMAX
01;22542-4-4;ESTANTERIA RACO;M;2,14;0;2,14;0;2,14;0;0,957;0,957;0;00001;0;0
01;20542-4-4;;M;1,72;0;1,72;0;1,72;0;0;0,75127;0;;0;0
01;20592-4-4;E;M;1,98;0;1,98;0;1,98;0;0,819;0,75793;0;00001;0;0
01;22592-4-4;;M;2,08;0;2,08;0;2,08;0;1,03;1,03;0;00001;0;0
01;12510-4-6;;M;1,17;0;1,17;0;1,17;0;0,615;0,615;0;00001;0;0
01;20511-4-6;ESTANTERIA RACO;M;1,11;0;1,11;0;1,11;0;0;0,54091;0;00001;0;0
01;22592-4-6;;M;3,6;0;3,6;0;3,6;0;1,116;1,116;0;00001;0;0
01;20592-4-6;;M;2,4;0;2,4;0;2,4;0;1,268;1,268;0;00001;0;0
01;22511-4-6;ESTANTERIA RACO;M;1,12389;0;0;0;0;0;0,615;0,615;0;00001;0;0
01;22542-4-6;ESTANTERIA RACO;M;2,22;0;2,22;0;2,22;0;0;0;0;00001;0;0
01;20542-4-6;ESTANTERIA RACO;M;2,4;0;2,4;0;2,4;0;0;1,32223;0;00001;0;0
01;638-4-6;ESTANTERIA RACO;M;0,85344;0;0;0;0;0;0;0;0;00001;0;0
01;00200-4-4;ESTANTERIA RACO;M;0,63106;0;0;0;0;0;0;0,26205;0;00001;0;0
01;672-14-14;050301;M;1;0;1;0;1;0;0;0,30022;17;00001;10;20
01;22512-6-4;ESTANTERIA RACO;M;1,71288;0;0;0;0;0;0;0;0;00001;0;0
01;20511-6-4;ESTANTERIA RACO;M;1,56;0;1,56;0;1,56;0;0,777;0,77812;0;00001;0;0
01;22592-6-4;ESTANTERIA RACO;M;2,87284;0;0;0;0;0;0;0;0;00001;0;0
01;20591-6-4;ESTANTERIA RACO;M;3,06;0;3,06;0;3,06;0;0;1,21404;0;00001;0;0
01;20592-6-6;ESTANTERIA RACO;M;2,57233;0;0;0;0;0;0;0,91955;0;00001;0;0
01;22542-6-6;ESTANTERIA RACO;M;2,64;0;2,64;0;2,65;0;0;0;0;;0;0
01;20542-6-6;ESTANTERIA RACO;M;2,12;0;2,12;0;2,12;0;0;0,96162;0;00001;0;0
01;22512-6-6;ESTANTERIA RACO;M;1;0;1;0;1;0;0,455;0;0;00001;0;0
01;20511-6-6;ESTANTERIA RACO;M;1;0;1;0;1;0;0,522;0,522;0;00001;0;0
01;12510-6-6;ESTANTERIA RACO;M;0,96;0;0,96;0;0,96;0;0;0;0;00001;0;0
01;10510-6-6;ESTANTERIA RACO;M;1,18;0;1,18;0;1,18;0;0;0;0;00001;0;0
01;10010-6-6;;M;1,03374;0;0;0;0;0;0;0;0;00001;0;0
01;728-06-06;050805;M;6,65;0;6,65;0;6,65;0;0;2,65032;9;00001;10;20
01;29910-6-17;ESTANTERIA RACO;M;2,02;0;2,02;0;2,02;0;0;0;0;00001;0;0
01;00200-6-6;ESTANTERIA RACO;M;0,72722;0;0;0;0;0;0;0;0;00001;0;0
01;672-38-17;050301;M;1,28;0;1,28;0;1,28;0;0,411;0,28152;8;00001;5;10
01;638-6-8;;M;1,31;0;1,31;0;1,31;0;0;0;0;00001;0;0
01;638-6-12;ESTANTERIA RACO;M;3,15;0;0;0;0;0;0;0;0;;0;0
01;TMG-06-06;050704;M;0,81;0,81;0,81;0,81;0,81;0;0,285;0,28446;39;00001;10;20
01;2910-6-8;ESTANTERIA RACO;M;4,58572;0;0;0;0;0;0;0;0;;0;0
01;20542-6-8;ESTANTERIA RACO;M;2,88;0;2,88;0;2,88;0;0;0;0;00001;0;0
01;22542-6-8;ESTANTERIA RACO;M;3,12;0;3,12;0;3,12;0;0;0;0;00001;0;0
01;20592-6-8;ESTANTERIA RACO;M;2,94;0;2,94;0;2,94;0;0;0;0;00001;0;0
01;22592-6-8;ESTANTERIA RACO;M;2,96;0;2,96;0;2,96;0;0;0;0;00001;0;0
01;12512-6-8;ESTANTERIA RACO;M;1,19601;0;0;0;0;0;0;0;0;00001;0;0
01;10510-6-8;ESTANTERIA RACO;M;1,72;0;1,72;0;1,72;0;0;0,78733;0;00001;0;0
01;20511-6-8;ESTANTERIA RACO;M;1,38;0;1,38;0;1,38;0;0,685;0,67013;0;;0;0
01;22512-6-8;ESTANTERIA RACO;M;1,79703;0;0;0;0;0;0;0;0;00001;0;0
01;728-08-08;050805;M;9,6;9,6;9,6;9,6;9,6;0;0;2,88;18;00001;10;20
01;2310-8-8;;M;3,94865;0;0;0;0;0;0;0;0;00001;0;0
01;29910-8-21;;M;4,58572;0;0;0;0;0;0;0,0135;-10;00001;0;0
01;10010-8-8;;M;1,2;0;1,2;0;1,2;0;0,432;0,40645;0;00001;0;0
01;683-8-8;E;M;4,02678;0;0;0;0;0;0;0;2;00001;0;0
01;10510-8-8;;M;1,74;0;1,75;0;1,75;0;0,917;0,86112;0;00001;0;0
01;12510-8-8;ESTANTERIA RACO;M;1,38;0;1,38;0;1,38;0;0;0;0;00001;0;0
01;23390-8-8;;M;5,60744;0;0;0;0;0;0;0;0;00001;0;0
01;20512-8-8;ESTANTERIA RACO;M;2,39203;0;0;0;0;0;0;0;0;00001;0;0
01;22512-8-8;ESTANTERIA RACO;M;1,83;0;1,83;0;1,83;0;0,79;0;0;00001;0;0
01;20542-8-8;ESTANTERIA RACO;M;2,88;0;2,88;0;2,88;0;0;1,29218;0;00001;0;0
01;22542-8-8;;M;3,7;0;3,7;0;3,7;0;1,834;1,834;0;00001;0;0
01;23340-8-8;;M;4,95835;0;0;0;0;0;0;0;0;00001;0;0
01;20592-8-8;ESTANTERIA RACO;M;3;0;3;0;3;0;1,375;1,32591;0;00001;0;0
01;22592-8-8;ESTANTERIA RACO;M;3,56;0;3,56;0;3,56;0;1,75;1,75;0;00001;0;0
01;22591-8-10;ESTANTERIA RACO;M;3,42;0;3,42;0;3,42;0;0;0;0;00001;0;0
01;20592-8-10;;M;5,28;0;5,28;0;5,28;0;0;1,97132;0;;0;0
01;22512-8-10;ESTANTERIA RACO;M;1,96;0;1,96;0;1,96;0;0,892;0,892;0;00001;0;0
01;20511-8-10;ESTANTERIA RACO;M;3,03;0;3,03;0;3,03;0;0;1,15394;0;00001;0;0
01;10510-8-10;ESTANTERIA RACO;M;3,4;0;3,4;0;3,4;0;0;1,38233;-1;00001;0;0
01;12510-8-10;ESTANTERIA RACO;M;1,71;0;1,71;0;1,71;0;0;0;0;00001;0;0
01;00200-8-8;ESTANTERIA RACO;M;1,04576;0;0;0;0;0;0;0,40268;0;00001;0;0
01;638-10-12;050303;M;2,48819;0;0;0;0;0;0,733;0,86488;12;00001;10;15
