ORDANYO;NUMORD;NUMTAR;CODPDT;FECIMP;HORA;CANTIDAD;DOCSER;DOCNUM;LINEA
1998;000021;01;6T6111;27/10/1998;1611;1;98;000062;1
1998;000021;01;3P7995;28/10/1998;1612;1;98;000063;1
1998;000017;02;2M0344;29/10/1998;1534;9;98;000065;1
1998;000017;02;4E9705;29/10/1998;1534;4;98;000066;1
1998;000017;02;4E9706;04/11/1998;1535;4;98;000067;1
1998;000017;02;8R4086;29/10/1998;1535;4;98;000068;1
1998;000017;02;9G8009;29/10/1998;1535;1;98;000069;1
1998;000017;03;1214038;29/10/1998;1537;30;98;000070;1
1998;000017;03;1214043;29/10/1998;1537;30;98;000071;1
1998;000017;03;6I2501;29/10/1998;1538;1;98;000072;1
1998;000017;03;1R0739;29/10/1998;1539;1;98;000073;1
1998;000017;03;1P2299;29/10/1998;1539;1;98;000074;1
1998;000017;03;1R0722;29/10/1998;1540;2;98;000075;1
1998;000017;03;1R0746;29/10/1998;1540;1;98;000076;1
1998;000017;02;7K9680;29/10/1998;1548;1;98;000077;1
1998;000017;04;4900-46-II;29/10/1998;1548;1;98;000078;1
1998;000022;02;6N9245;06/11/1998;1045;1;98;000080;1
1998;000022;02;7S8767;06/11/1998;1112;2;98;000081;1
1998;000022;02;8H9818;06/11/1998;1112;1;98;000082;1
1998;000022;02;7N1462;06/11/1998;1113;1;98;000083;1
1998;000036;01;4903-6-M.F.;10/11/1998;1009;1;98;000084;1
1998;000010;03;6Y7934;11/11/1998;1343;5;98;000085;1
1998;000010;03;5H3252;11/11/1998;1344;2;98;000086;1
1998;000010;03;6V0357;11/11/1998;1345;1;98;000087;1
1998;000010;03;8T2471;11/11/1998;1345;1;98;000088;1
1998;000010;03;9X6139;11/11/1998;1345;1;98;000089;1
1998;000010;03;8T2474;11/11/1998;1346;1;98;000090;1
1998;000010;03;6Y7935;11/11/1998;1346;20;98;000091;1
1998;000010;03;6P2234;11/11/1998;1347;21;98;000093;1
1998;000010;03;8T2472;11/11/1998;1348;1;98;000095;1
1998;000010;03;6P3735;11/11/1998;1348;9;98;000096;1
1998;000010;03;1T0099;11/11/1998;1348;24;98;000097;1
1998;000010;03;8E5284;11/11/1998;1349;21;98;000098;1
1998;000010;03;6P2233;11/11/1998;1349;3;98;000099;1
1998;000010;03;6P3733;11/11/1998;1349;3;98;000100;1
1998;000010;03;6P3910;11/11/1998;1350;42;98;000101;1
1998;000010;03;9P7516;11/11/1998;1350;6;98;000102;1
1998;000010;03;5P3131;11/11/1998;1351;3;98;000103;1
1998;000010;03;9G5525;11/11/1998;1351;12;98;000104;1
1998;000010;03;8T2475;11/11/1998;1555;1;98;000106;1
