NUMTAR;FECORD;NUMORD;DESTAR;CODTER;MARCA
01;22/09/1998;000002;MANTENIMIENTO DE TALLER;0;
02;22/09/1998;000002;ATENCIONES A CLIENTES;0;
01;25/09/1998;000005;REVISION GENERAL DE SALIDEROS DE ACEITE;7;
01;16/10/1998;000010;LOCALIZACION DE FALLOS EN LA 1ª Y 3ª VELOCIDAD DE LA SERVOTRANSMISION;14;N
02;16/10/1998;000010;REVISION DE VALVULAS DE TRANSMISION;14;N
03;16/10/1998;000010;REPARACION DE TRANSMISION;14;N
01;21/10/1998;000012;REVISION DE OLVITROL DE DIRECCION.  ;356;N
01;22/10/1998;000014;FALLOS EN LA INSTALACION ELECTRICA DE MARTILLO;7;N
02;22/10/1998;000014;REPARACION DE VALVULAS DE FRENADO DE LA MAQUINA;7;N
01;15/10/1998;000015;REPARACION DE FUGA DE ACEITE POR TAPAS DE DISTRIBUCION;7;N
01;26/10/1998;000016;COMPROBACION DE MOTOR HIDRAULICO DERECHO;356;N
02;26/10/1998;000016;COMPROBACION DE PRESIONES HIDRAULICAS DE SERVOMANDOS;356;N
01;26/10/1998;000017;LIMPIEZA DE MAQUINA PARA SU REPARACION;9;N
02;26/10/1998;000017;REPARACION DE FRENOS.;9;N
01;27/10/1998;000018;FUGA DE LIQUIDO DE FRENOS POR RUEDA O BOMBA DE FRENOS. ;49;N
03;26/10/1998;000017;CAMBIO GENERAL DE FILTROS Y ACEITES;9;N
02;21/10/1998;000012;MONTAJE EN MAQUINA DE ORBITROL;356;N
01;27/10/1998;000019;MONTAJE DE ORBITROL NUEVO EN MAQUINA;356;N
01;27/10/1998;000021;FALLO EN AIRE ACONDICIONADO;253;N
01;28/10/1998;000022;REVISION DE TEMPERATURA DE MOTOR;7;N
02;28/10/1998;000022;SUSTITUCION DE ENFRIADOR DE TRANSMISION;7;N
04;26/10/1998;000017;REPARACION DE PREFILTRO TURBO II;9;N
05;26/10/1998;000017;OBSERVACIONES: AGUILON NO ENGRASA
- PALA SE CAE
- EMBOLO DE DIRECCION IZQUIERDO PIERDE ACEITE ;9;N
03;26/10/1998;000016;COMPROBACION EN TALLER DE BOMBA HIDRAULICA;356;N
01;30/10/1998;000023;REPARACION DE ACUMULADOR ;387;N
04;26/10/1998;000016;COMPROBACION VALVULAS REPARTIDOR;356;N
05;26/10/1998;000016;REPARCION MOTOR HIDRAULICO  IZQUIERDO ;356;N
01;03/11/1998;000025;LIMPIEZA DE PIEZAS Y MONTAJE.;328;N
01;28/10/1998;000026;REPARAR VAGONAS;70;N
03;22/09/1998;000002;RECADOS;10000;N
04;22/09/1998;000002;ASUNTOS PERSONALES;10000;N
01;30/10/1998;000027;REPARACION DE PLEGADORA;398;N
02;25/09/1998;000005;CAMBIO DE EMPAQUETADURAS DE BOTELLAS;7;N
03;25/09/1998;000005;REPARACION DE BOMBA HIDRAULICA;7;N
04;25/09/1998;000005;SOLDADURA DE AGUILON Y PALA;7;N
01;05/11/1998;000028;REPARACIOPN DE FRENOS;7;S
02;05/11/1998;000028;REPARACION DE CUCHARON;7;S
03;05/11/1998;000028;REPARACION DE ARTICULACION CENTRAL;7;S
04;05/11/1998;000028;SUSTITUCION DE EMPAQUETADURAS DE ELEVACION Y VOLTEO;7;S
05;05/11/1998;000028;REPARACION DE CABINA;7;S
06;05/11/1998;000028;REPARACION DE SALIDEROS DE BOLAS DE ARTICULACION;7;S
07;05/11/1998;000028;REPARACION DE MOTOR;7;S
05;22/09/1998;000002;CONSTRUCCION DE LATIGUILLOS;10000;N
06;22/09/1998;000002;HORAS SIN IMPUTACION;10000;N
01;06/11/1998;000029;BOTELLA DERECHA DE VOLTEO PIERDE ACEITE;253;N
01;06/11/1998;000030;AVERIA EN LA BARRA DE DIRECCION;253;N
02;27/10/1998;000021;MONTAJE DE MOTOR ;253;N
01;25/10/1998;000031;REVISION DE BATERIA;253;N
01;09/11/1998;000032;REPARACION DE FRENOS PARTE DELANTERA;33;N
01;06/11/1998;000033;REVISION DEL  REDUCTOR TRASERO IZQUIERDO;33;N
01;09/11/1998;000034;REPARACION DE FRENOS;29;N
01;09/11/1998;000035;REPARACION DESCALSIFICADOR;17;N
02;06/11/1998;000033;REPARACION DE REDUCTOR EN TALER.;33;N
01;10/11/1998;000036;REPARACION DE QUEMADOR DE CALDERA;70;N
01;10/11/1998;000037;REVISION DE CABLE DE ACELERADOR;49;N
01;10/11/1998;000038;VERIFICAR MARTILLO EN CANTERA;387;N
02;10/11/1998;000038;REPARACION DE MARTILLO;387;N
01;11/11/1998;000040;ROTURA DE INYECTOR;126;N
04;16/10/1998;000010;INSTALACION ELECTRICA;14;N
01;11/11/1998;000041;MOTOR DE MAQUINA BLOQUEADO;7;N
05;16/10/1998;000010;REPARACIION DE RADIADOR. ;14;N
01;10/11/1998;000042;REPARACION DE ZIZALLA;399;N
06;16/10/1998;000010;REPARACION TUBERIA DE AIRE Y MONTAJE DE PASTILLAS FRENOS.;14;N
07;16/10/1998;000010;REPARACION VARILLA DE VOLTEO;14;N
02;09/11/1998;000034;CORREGIR SALIDEROS DE ACEITE DE SERVO;29;N
02;11/11/1998;000041;SACAR MOTOR PARA TRASLADO AL TALLER PARA SU REPARACION;7;N
02;10/11/1998;000037;CAMBIO DE CABLE DE ACELERADOR;49;N
01;13/11/1998;000044;REVISION DE MOTOR , PISTON FOGEADO;7;N
08;05/11/1998;000028;REPARACION DE VALVULA DE FRENOS.;7;N
01;12/11/1998;000045;REVISION PARA PASAR I.T.V.;49;N
03;11/11/1998;000041;REPARACION DE MOTOR EN TALLER;7;N
