CODALM;CODPDT;DOCFEC;DOCSER;DOCNUM;CANPED;CANSER;PREBAS;PREENT;MONEDA;DTOLIN;DTOCAB;CODMOD;PORIMP;CODTER;LINEA;MARSIT;DESPDT;CANASER;SERPRE;NUMPRE;LINPRE
01;6T6111;27/10/1998;98;000005;1;1;1,68;280,18583;PS;0;0;01;16;3;1;S;MOTOR ELECTRICO DE AIRE ACONDICIONADO;3;;;0
01;6P3735;05/11/1998;98;000007;15;3;47,96077;47,96077;PS;0;0;01;16;3;0;;EJES;0;;;0
01;8S3094;05/11/1998;98;000008;2;2;840,78588;840,78588;PS;0;0;01;16;2;0;S;CAMARA FRENO;0;98;000004;1
01;6F4855;05/11/1998;98;000008;2;2;0,61303;0,61303;PS;0;0;01;16;2;0;S;JUNTA;0;98;000004;2
01;4D1577;05/11/1998;98;000008;2;2;4,84416;4,84416;PS;0;0;01;16;2;0;S;JUNTA;0;98;000004;3
01;3J7632;05/11/1998;98;000008;2;2;36,96224;36,96224;PS;0;0;01;16;2;0;S;EMPAQUETADURA DE ELEVACION;0;98;000004;4
01;5J5559;05/11/1998;98;000008;2;2;30,65162;30,65162;PS;0;0;01;16;2;0;S;EMPAQUETADURA DE ELEVACION;0;98;000004;5
01;1J2176;05/11/1998;98;000008;2;2;2,75264;2,75264;PS;0;0;01;16;2;0;S;JUNTA;0;98;000004;6
01;2J0744;05/11/1998;98;000008;2;2;2,70455;2,70455;PS;0;0;01;16;2;0;S;EMPAQUETADURA DE ELEVACION;0;98;000004;7
01;6J7167;05/11/1998;98;000008;2;2;12,38686;12,38686;PS;0;0;01;16;2;0;S;EMPAQUETADURA DE ELEVACION;0;98;000004;8
01;5J8325;05/11/1998;98;000008;2;2;16,64804;16,64804;PS;0;0;01;16;2;0;S;EMPAQUETADURA DE ELEVACION;0;98;000004;9
01;6J4169;05/11/1998;98;000008;2;2;12,62125;12,62125;PS;0;0;01;16;2;0;S;EMPAQUETADURA DE ELEVACION;0;98;000004;10
01;3J9703;05/11/1998;98;000008;2;2;26,59479;26,59479;PS;0;0;01;16;2;0;S;EMPAQUETADURA DE VOLTEO;0;98;000004;11
01;5J4991;05/11/1998;98;000008;2;2;19,8334;19,8334;PS;0;0;01;16;2;0;S;EMPAQUETADURA DE VOLTEO;0;98;000004;12
01;2K4472;05/11/1998;98;000008;2;2;2,45213;2,45213;PS;0;0;01;16;2;0;S;EMPAQUETADIRA DE VOLTEO;0;98;000004;13
01;2K4473;05/11/1998;98;000008;2;2;2,57233;2,57233;PS;0;0;01;16;2;0;S;EMPAQUETADURA DE VOLTEO;0;98;000004;14
01;6J6553;05/11/1998;98;000008;2;2;12,62125;12,62125;PS;0;0;01;16;2;0;S;EMPAQUETADURA DE VOLTEO;0;98;000004;15
01;5J8275;05/11/1998;98;000008;2;2;12,42893;12,42893;PS;0;0;01;16;2;0;S;EMPAQUETADURA DE VOLTEO;0;98;000004;16
01;1J3540;05/11/1998;98;000008;2;2;7,12199;7,12199;PS;0;0;01;16;2;0;S;EMPAQUETADURA DE VOLTEO;0;98;000004;17
01;8E5284;05/11/1998;98;000007;21;21;7,92735;7,92735;PS;0;0;01;16;3;2;S;COJIENTE;0;;;0
01;6P2233;05/11/1998;98;000007;3;3;61,47152;61,47152;PS;0;0;01;16;3;3;S;PIÑON;0;;;0
01;6P2234;05/11/1998;98;000007;12;12;58,41838;58,41838;PS;0;0;01;16;3;4;S;ENGRANE;0;;;0
01;6P3733;05/11/1998;98;000007;3;3;36,12684;36,12684;PS;0;0;01;16;3;5;S;EJE;0;;;0
01;6P3910;05/11/1998;98;000007;42;42;2,14561;2,14561;PS;0;0;01;16;3;6;S;ARANDELA;0;;;0
01;9P7516;05/11/1998;98;000007;6;6;8,64255;8,64255;PS;0;0;01;16;3;7;S;ARANDELA;0;;;0
01;7X2711;25/11/1998;98;000010;2;1;211,88682;211,88682;PS;7;0;01;16;3;0;;KIT EMPAQUETADURAS EMBOLO ELEVACION;0;;;0
01;7X2712;25/11/1998;98;000010;2;1;272,87152;272,87152;PS;7;0;01;16;3;0;;KIT EMPAQUETADURAS EMOLO VOLTEO;0;;;0
01;1U4835;19/11/1998;98;000011;2;2;0,033;5,50527;PS;0;0;01;16;3;1;S;ANILLO;0;;;0
01;9J6367;19/11/1998;98;000011;3;3;0,028;4,79007;PS;0;0;01;16;3;2;S;ANILLO;0;;;0
01;617540;19/11/1998;98;000011;1;1;0,054;9,49599;PS;0;0;01;16;3;3;S;RETEN;0;;;0
01;5P8066;19/11/1998;98;000011;1;1;0,054;8,62452;PS;0;0;01;16;3;4;S;RETEN;0;;;0
01;6V4591;19/11/1998;98;000011;2;2;0,039;6,44285;PS;0;0;01;16;3;5;S;RETEN;0;;;0
