DOCFEC;DOCSER;DOCNUM;CODTER;DTOCAB;FORPAG;BASEBAS;IMPTBAS;RECBAS;FECORD;NUMORD;CODMAQ;FECENT;OBSERV;MARCAD;PORTES;PORFIN;RFDPP;ALBSER;ALBNUM;DESHOR;PREHOR;NUMKM;PREKM;DIETENT
28/09/1998;98;000007;49;0;42;5442,69;870,83;0;29/09/1998;000004;966;08/10/1998;A/A DE JOSE ANTONIO MORENO ;8989;0;0;0;;;0;22,97669;0;0,2404;0
28/09/1998;98;000009;253;0;3;1019,36;163,1;0;;;Nº2;29/09/1998;A/A DE ENRIQUE BALBOA;;0;0;0;;;4,5;15,42798;208;0,21035;0
30/09/1998;98;000010;0;0;0;19,53;3,12;0;;;0;;;;0;0;0;;;0;19,53289;0;0,21035;0
29/09/1998;98;000012;253;0;3;447,5;71,6;0;;;CASE;29/09/1998;A/A ENRQUE BALBOA;1222;0;0;0;;;3;15,42678;208;0,21035;0
23/09/1998;98;000013;49;0;42;14981,23;2397;0;;;966;01/10/1998;;7899;0;0;0;;;0;22,97669;0;0,2404;0
30/09/1998;98;000014;1;0;1;901,52;144,24;0;;;MOLINO;;;;0;0;0;;;0;0;0;0;0
16/10/1998;98;000015;1;0;1;424,25;67,88;0;;;MOLINO;;;;0;0;0;;;0;0;0;0;0
30/10/1998;98;000016;33;0;42;28720,39;4595,26;0;;;950 B;;;1050;0;0;0;;;0;0;0;0;0
30/10/1998;98;000017;33;0;42;20512,53;3282,01;0;;;950 B;;;1505;0;0;0;;;0;0;0;0;0
05/11/1998;98;000018;7;0;1;4014,08;642,25;0;05/11/1998;000028;C.MORON PALA Nº3;;A/A D.IGNACIO SILES;1908;0;0;0;98;000049;0;0;0;0;0
30/10/1998;98;000019;33;0;42;11087,24;1773,96;0;24/11/1998;000053;950 B;;EL PRESUPUESTO NO ESTA INCLUIDO:
KIT FRENO DE MANO- 8.860
PASTILLAS DE FRENOS-63.672 
EL MATERIAL DEL PRESUPUESTO NO ESTA GARANTIZAO

 ;;0;0;0;98;000097;0;0;0;0;0
22/09/1998;98;000020;253;0;3;420,71;67,31;0;;;Nº2;30/11/1998;;;0;0;0;;;0;0;0;0;0
03/12/1998;98;000021;50;0;42;1919,41;307,11;0;03/12/1998;000089;;;NO PODEMOS PRESUPUESTAR LA REPARACION DE LAS MAQUINAS 966-TEREX-VOLVO, HASTA NO VER EL ALCANCE DE LAS AVERIAS;;0;0;0;98;000096;0;0;0;0;0
30/12/1998;98;000022;253;0;3;10885,11;1741,62;0;;;Nº2;;;;0;0;0;;;6;15,42678;208;0,21035;60,1
30/12/1998;98;000023;253;0;3;2740,77;438,52;0;;;Nº1;;;;0;0;0;;;0;0;0;0;0
01/01/1999;98;000024;253;0;3;21327,85;3412,46;0;;;Nº2;;NO SE HAN PRESUPUESTADO LOS SOPORTES ANTIDESGASTE NI GUIAS DE CADENAS Y TORNILLERIA SEGUN SU ESTADO AL DESMONTAR, ASI COMO LOS SOPORTES DE RUEDA GUIA Y OTROS COMPONETES QUE SALGAN DEFECTUOSOS AL DESMONTAR.;;0;0;0;;;0;0;0;0;0
04/03/1999;99;000001;356;0;11;2071,38;331,42;0;;;125;;;;0;0;0;;;0;0;0;0;0
01/03/1999;99;000002;289;0;11;2689,73;430,36;0;02/03/1999;000332;320M;;NO ESTAN INCLUIDOS DESPLAZAMIENTO NI KILOMETRAJE;;0;0;0;99;000722;0;0;0;0;0
09/03/1999;99;000003;253;0;3;2668,13;426,9;0;;;Nº2;;EL PORTE NO ESTA INCLUIDO SI SE SIRVEN EN FABRICA
MARCA SOREFA, 
ENTREGA EN CINCO DIAS DESDE CONFFIRMACION PEDIDO;;0;0;0;;;0;0;0;0;0
31/03/1999;99;000004;50;0;43;1587,01;253,92;0;;;MT;;SEGUN PEDIDO Nº3001637/99
;;0;0;0;;;0;0;208;0,2404;0
13/05/1999;99;000005;165;0;11;8768,17;1402,91;0;;;NH-95;;LA FORMA DE PAGO, EL 50% PARA HACER EL PEDIDO=729..450 EL RESTO AL PONER EL MARTILLO EN FUNCIONAMIENTO, QUE INCLUYENDO EL IVA ES=962.874;;0;0;0;;;0;0;0;0;0
25/05/1999;99;000006;253;0;3;3515,04;562,41;0;;;CLARAK;;EL PRESUPUESTO DE MANO DE OBRA SIEMPRE ES APROXIMADO HASTA NO DESMONTAR NO SABEMOS EXACTAMENTE LA REPARACION QUE TIENE;;0;0;0;;;0;0;0;0;0
03/06/1999;99;000007;50;0;45;1252,86;200,46;0;;;TX;;;;0;0;0;;;0;0;208;0;30,05
28/06/1999;99;000008;253;0;3;12570,17;2011,23;0;14/07/1999;000244;Nº1;;CONSTRUCCION EN CHAPA DE 20mm EN FONDO, LATERALES Y COGIDAS DE AGUILON EN 25mm. REFUERZOS ANTIDESGASTE DE 400 BR. EN LATERALES DE 40mm Y DOBLEFONDO Y PATINES DE 20mm. CUCHILLA DE 50mm EN 420BR. PORTADIENTES Y DIENTES ;;0;0;0;99;000821;0;0;0;0;0
06/07/1999;99;000009;253;0;3;666,67;106,67;0;;;;;CASQUILLOS QUE NO ESTABAN INCLUIDOS EN EL PRESUPUESTO 8/99;;0;0;0;;;0;0;0;0;0
25/10/1999;99;000010;253;0;3;43493,86;6959,02;0;28/10/1999;000337;Nº2;;EL PRESUPUESTO ES APROXIMADO, AL DESMONTAR SE ENVIARA LISTADO DE PIEZAS DEFECTUOSAS Y AVERIAS QUE SALGAN.;;0;0;0;99;000822;0;0;0;0;0
16/12/1999;99;000011;253;0;3;52127,76;8340,44;0;;;Nº1;;EL PRESUPUESTO ES APROXIMADO , AL DESMONTAR SE ENVIARA LISTADO DE PIEZAS DEFECTUOSAS QUE HAYAN SALIDO ;;0;0;0;;;0;0;0;0;0
16/12/1999;99;000012;253;0;3;11787,1;1885,94;0;;;Nº1;;MARCA DE LAS CADENAS CAT NO ESTAN INCLUIDO LOS PORTES;;0;0;0;;;0;0;0;0;0
16/12/1999;99;000013;253;0;3;8400,41;1344,07;0;;;Nº1;;EL PRESUPUESTO ES APROXIMADO , AL DESMONTAR SE ENVIARA LISTADO DE PIEZAS DEFECTUOSAS QUE HAYAN SALIDO , NO ESTAN INCLUIDOS PORTES;;0;0;0;;;0;0;0;0;0
16/12/1999;99;000014;253;0;3;9552,63;1528,42;0;;;Nº1;;NO ESTAN INCLUIDOS LOS PORTES;;0;0;0;;;0;0;0;0;0
16/12/1999;99;000015;253;0;3;10618,79;1699,01;0;;;Nº1;;NO ESTAN INCLUIDOS LOS PORTES;;0;0;0;;;0;0;0;0;0
