NUMTAR;DOCFEC;DOCSER;DOCNUM;DESTAR;IMPOBRA;IMPMAT
01;28/09/1998;98;000007;DESPIECE DE SERVO, REPARACION DE ROTURAS DE CARCASA, RECTIFICADO DE PLANO DE CARCASA DE PISTONES, MONTAJE DE KIT DE PISTONES, DISCOS Y JUNTAS ;0;26,67
02;28/09/1998;98;000007;MONTAJE DE RETENES Y CASQUILLO DE SOPOETE DE BALANCIN Y COLOCACION DE EJE;91,91;3646,81
03;28/09/1998;98;000007;DESMONTAR RADIADOR DE ACEITE, SOLDADURA Y MONTAJE.;1539,44;0
01;28/09/1998;98;000009;SUSTITUCION DE BOMBA DE GIRO;86,55;819,64
01;30/09/1998;98;000010;PRUEBA;19,53;0
01;29/09/1998;98;000012;COMPROBACION DE ALTENADOR, DESMONTAJE DE MAQUINA, REPARACION EN EL TALLER Y MONTAJE EN MAQUINA.;162,27;195,2
01;23/09/1998;98;000013;DESPIECE DE SERVO, REPARACION DE ROTURAS DE CARCASA, RECTIFICADO DE PLANO DE CARCASA DE PISTONES, MONTAJE DE KIT DE PISTONES, DISCOS Y JUNTAS. ;1539,44;9192,09
02;23/09/1998;98;000013;MONTAJE DE RETENES Y CASQUILLO DE SOPORTE DE BALANCI Y COLOCACION DE EJE.;91,91;4019,94
03;23/09/1998;98;000013;DESMONTAR RADIADOR DE ACEITE, SOLDADURA Y MONTAJE DEL MISMO.;137,86;0
01;30/09/1998;98;000014;CONSTRUCCION DE UTIL PARA SACAR BARRONES DE MOLINO.;0;0
02;30/09/1998;98;000014;CONSTRUCCION DE DOS ESPARRAGOS DE 56mm.;0;0
03;30/09/1998;98;000014;CONSTRUCCION DE DOS TUERCAS Y DOS CONTRATUERCAS.;0;0
04;30/09/1998;98;000014;CONSTRUCCION DE MANCHON DE INICIO DE EMPUJE DE CUERPO DE PRESA.;0;0
05;30/09/1998;98;000014;CONSTRUCCION DE SEPARADORES PARA PUENTE.;0;0
06;30/09/1998;98;000014;CONSTRUCCION DE PLACA PARA COJIDA DE PRENSA.;0;0
07;30/09/1998;98;000014;IMPORTE DE TODAS LAS CONSTRUCCIONES.;0;901,52
01;16/10/1998;98;000015;CONSTRUCCION DE USILLO PARA MANIPULACION DE AVANCE ;0;424,25
01;30/10/1998;98;000016;REPARACION DE TRANSMISION;2832,27;0
02;30/10/1998;98;000016;REPARACION DE PARTES DE MOTOR;273,46;2690,54
03;30/10/1998;98;000016;REPARACION DE FRENOS ;390,66;316,22
04;30/10/1998;98;000016;REPARACION DE AGUILON;1953,29;11551,69
05;30/10/1998;98;000016;REPARACION DE BOTELLAS DE ELEVACION, VOLTEO Y DIRECCION.;312,53;1046,96
01;30/10/1998;98;000017;REPARACION DE TRANSMISION;2832,27;0
02;30/10/1998;98;000017;REPARCION DE PARTES DEL MOTOR.;273,46;2312,54
03;30/10/1998;98;000017;REPACION DE FRENOS;390,66;273,62
04;30/10/1998;98;000017;REPARACION DE AGUILON;1953,29;5724,6
05;30/10/1998;98;000017;REPARACION DE BOTELLAS DE ELEVACION, VOLTEO Y DIRECCION.;312,53;736,55
01;05/11/1998;98;000018;REPARACIOPN DE FRENOS;0;2368,5
02;05/11/1998;98;000018;REPARACION DE CUCHARON;0;1128,7
03;05/11/1998;98;000018;REPARACION DE ARTICULACION CENTRAL;0;0
04;05/11/1998;98;000018;SUSTITUCION DE EMPAQUETADURAS DE ELEVACION Y VOLTEO;0;516,87
05;05/11/1998;98;000018;REPARACION DE GABINA;0;0
06;05/11/1998;98;000018;REPARACION DE SALIDEROS DE BOLAS DE ARTICULACION;0;0
07;05/11/1998;98;000018;REPARACION DE MOTOR;0;0
01;30/10/1998;98;000019;REPARACION DE TRANSMISION;2343,95;2193,14
02;30/10/1998;98;000019;REPARACION DE PARTES DEL MOTOR.;273,46;1040,35
03;30/10/1998;98;000019;REPARACION DE FRENOS.;390,66;67,97
04;30/10/1998;98;000019;REPARACION DE AGUILON;1660,3;2543,46
05;30/10/1998;98;000019;REPARACION DE BOTELLAS DE ELEVACION, VOLTEO Y DIRECCION.;312,53;261,44
01;22/09/1998;98;000020;REPARACION VASTAGO;0;420,71
01;03/12/1998;98;000021;DESPLAZAMIENTO A FABRICA E INSTALACION DE AVISADORES DE MARCHA ATRAS EN LAS SIGUIENTES MAQUINAS.;0;1919,41
