CODPDT;DOCFEC;DOCSER;DOCNUM;CANTID;DTOMAT;CODMOD;PORIMP;PORREC;PVP;NUMTAR;DESPDT;LINMATE
8M4432;28/09/1998;98;000007;1;0;01;16;4;4,66385;01;JUNTA CAJA VALVULAS;00005
7M8485;28/09/1998;98;000007;1;0;01;16;4;2,09152;01;JUNTA CAJA DE VALVULAS;00010
5P9186;28/09/1998;98;000007;2;0;01;16;4;6,91164;01;JUNTA CAJA VALVULAS;00015
7G3737;28/09/1998;98;000007;1;0;01;16;4;6,09426;01;JUNTA SERVO;00020
6K2430;28/09/1998;98;000007;1;0;01;16;4;56,39898;02;RETEN BALANCIN TRASERO;00005
4V5098;28/09/1998;98;000007;1;0;01;16;4;3590,41025;02;SOPORTE BALANCIN;00010
4T7388;28/09/1998;98;000009;1;0;01;16;4;816,39681;01;BOMBA DE GIRO;00005
1197311030;29/09/1998;98;000012;1;0;01;16;4;68,69568;01;REGULADOR;00005
ESTATOR;29/09/1998;98;000012;1;0;01;16;4;98,73427;01;ESTATOR;00010
6303;29/09/1998;98;000012;1;0;01;16;4;17,77794;01;RODAMIENTO;00015
6201;29/09/1998;98;000012;1;0;01;16;4;9,98882;01;RODAMIENTO;00020
1U3875;28/09/1998;98;000009;1;0;01;16;4;3,23946;01;PIÑON ARRASTRE BOMBA;00010
8M4432;23/09/1998;98;000013;4;0;01;16;4;4,66385;01;JUNTA CAJA VALVULAS;00005
7M8485;23/09/1998;98;000013;1;0;01;16;4;2,09152;01;JUNTA CAJA DE VALVULAS;00010
5P9186;23/09/1998;98;000013;2;0;01;16;4;6,91164;01;JUNTA CAJA VALVULAS;00015
7G3737;23/09/1998;98;000013;1;0;01;16;4;6,09426;01;JUNTA SERVO;00020
3P3461;23/09/1998;98;000013;1;0;01;16;4;17,70582;01;JUNTA SERVO;00025
4F7389;23/09/1998;98;000013;2;0;01;16;4;3,71425;01;JUNTA SERVO;00035
4F8946;23/09/1998;98;000013;1;0;01;16;4;2,15763;01;JUNTA SERVO;00040
1H8171;23/09/1998;98;000013;1;0;01;16;4;1,779;01;JUNTA SERVO;00045
4H6112;23/09/1998;98;000013;1;0;01;16;4;14,64065;01;RESPIRADERO DE SERVO;00050
7F8268;23/09/1998;98;000013;1;0;01;16;4;3,53996;01;JUNTA SERVO;00055
3H1461;23/09/1998;98;000013;1;0;01;16;4;2,57233;01;JUNTA SERVO;00060
5P3456;23/09/1998;98;000013;2;0;01;16;4;7,72301;01;JUNTA SERVO;00065
1H9696;23/09/1998;98;000013;1;0;01;16;4;3,03511;01;JUNTA SERVO;00070
1J2176;23/09/1998;98;000013;1;0;01;16;4;7,43452;01;JUNTA SERVO;00075
1P3707;23/09/1998;98;000013;1;0;01;16;4;4,35734;01;JUNTA SERVO;00080
7F8267;23/09/1998;98;000013;1;0;01;16;4;3,25148;01;JUNTA SERVO;00085
8T4977;23/09/1998;98;000013;2;0;01;16;4;24,67756;01;JUNTA SERVO;00090
5H6734;23/09/1998;98;000013;2;0;01;16;4;5,98608;01;JUNTA SERVO;00095
2H9247;23/09/1998;98;000013;1;0;01;16;4;6,31063;01;JUNTA SERVO;00100
8H7521;23/09/1998;98;000013;1;0;01;16;4;5,58941;01;JUNTA SERVO;00105
4D1577;23/09/1998;98;000013;1;0;01;16;4;10,38549;01;JUNTA SERVO;00110
2S4750;23/09/1998;98;000013;2;0;01;16;4;4,15299;01;JUNTA SERVO;00120
2H3088;23/09/1998;98;000013;2;0;01;16;4;4,77204;01;JUNTA SERVO;00125
8T8957;23/09/1998;98;000013;1;0;01;16;4;17,42334;01;JUNTA SERVO;00130
3S9896;23/09/1998;98;000013;2;0;01;16;4;6,1784;01;JUNTA DE SERVO QUE PASA DE 8T7276;00135
4L9564;23/09/1998;98;000013;3;0;01;16;4;2,74663;01;JUNTA SERVO QUE PASA DE 8B4967;00140
6H7201;23/09/1998;98;000013;2;0;01;16;4;8,93104;01;SEGMENTO SERVO;00145
6Y5912;23/09/1998;98;000013;3;0;01;16;4;84,55038;01;DISCOS DE FRICCION QUE PASA DE 9P1861;00150
9P7390;23/09/1998;98;000013;6;0;01;16;4;259,52905;01;DISCOS DE FRICCION SERVO;00155
6Y5911;23/09/1998;98;000013;8;0;01;16;4;140,2642;01;DISCOS DE FRICCION QUE PASA 7G3129;00160
8P2053;23/09/1998;98;000013;1;0;01;16;4;34,9789;01;JUNTA SERVO;00165
8D9739;23/09/1998;98;000013;1;0;01;16;4;34,9789;01;JUNTA SERVO;00170
8P2051;23/09/1998;98;000013;9;0;01;16;4;319,39586;01;DISCO DE ACERO SERVO;00175
8P1964;23/09/1998;98;000013;2;0;01;16;4;105,81419;01;DISCO DE ACERO SERVO;00180
7G3200;23/09/1998;98;000013;1;0;01;16;4;1878,84798;01;BOMBA HIDRAULICA DE TRANSMISION;00185
1399175;23/09/1998;98;000013;1;0;01;16;4;942,79567;01;JUEGO DE REPARACION JUNTAS SERVO;00190
4V5098;23/09/1998;98;000013;1;0;01;16;4;3590,41025;02;SOPORTE BALANCIN;00005
6K2430;23/09/1998;98;000013;1;0;01;16;4;56,39898;02;RETEN BALANCIN TRASERO;00010
3K0158;23/09/1998;98;000013;2;0;01;16;4;88,91373;02;RETEN DE BALANCIN;00015
3K0109;23/09/1998;98;000013;1;0;01;16;4;195,29888;02;CASQUILLO BALANCIN0;00020
1;30/09/1998;98;000014;1;0;01;16;4;901,51816;07;MATERIAL Y MANO DE OBRA EPLEADOS.;00005
1;16/10/1998;98;000015;1;0;01;16;4;424,25444;01;MATERIAL EMPLEADO EN LA CONSTRUCCION;00005
5M6200;30/10/1998;98;000016;2;0;01;16;4;14,20793;01;JUNTA;00005
2H3088;30/10/1998;98;000016;3;0;01;16;4;4,77204;01;JUNTA SERVO;00010
7S4571;30/10/1998;98;000016;1;0;01;16;4;14,0757;01;JUNTA SERVO;00010
1S3715;30/10/1998;98;000016;1;0;01;16;4;3,82244;01;JUNTA;00015
8M5254;30/10/1998;98;000016;1;0;01;16;4;5,15067;01;TORICA SILICONA 31.34X3.53;00020
8M5248;30/10/1998;98;000016;1;0;01;16;4;4,83815;01;TORICA SILICONA 29.74X3.53;00025
8M5010;30/10/1998;98;000016;3;0;01;16;4;7,67492;01;TORICA SILICONA 53.57X3.53;00030
8M4443;30/10/1998;98;000016;2;0;01;16;4;6,66522;01;JUNTA;00035
5M3252;30/10/1998;98;000016;1;0;01;16;4;51,96351;01;JUNTA;00040
8M5661;30/10/1998;98;000016;1;0;01;16;4;7,29028;01;TORICA SILICONA 47.22X3.53;00045
8M4992;30/10/1998;98;000016;1;0;01;16;4;6,57507;01;TORICA SILICONA 40.87X3.53;00050
8M4432;30/10/1998;98;000016;2;0;01;16;4;4,66385;01;TORICA SILICONA 26.57X3.53;00055
1H9696;30/10/1998;98;000016;1;0;01;16;4;3,03511;01;JUNTA SERVO;00060
4K5537;30/10/1998;98;000016;1;0;01;16;4;1,17798;01;JUNTA;00065
5H3252;30/10/1998;98;000016;1;0;01;16;4;6,49093;01;JUNTA;00070
8M5249;30/10/1998;98;000016;2;0;01;16;4;5,5233;01;TORICA SILICONA 34.52X3.53;00075
5P7084;30/10/1998;98;000016;2;0;01;16;4;9,05124;01;JUNTA;00080
8M8514;30/10/1998;98;000016;1;0;01;16;4;4,02678;01;TORICA SILICONA 28.24X2.62;00085
8M4389;30/10/1998;98;000016;8;0;01;16;4;3,34764;01;TORICA SILICONA 20.30X2.62;00090
4K7463;30/10/1998;98;000016;2;0;01;16;4;21,82275;01;JUNTA;00100
