CODOPER;DOCFEC;DOCSER;DOCNUM;DESCOP;HORACAN;DTOOBR;CODMOD;PORIMP;PORREC;PRETAR;NUMTAR;LINOBRA
101;28/09/1998;98;000007;Desmontar y limpieza;67;0;01;16;4;22,97669;01;005
101;28/09/1998;98;000007;MONTAJE DE RETENES, CASQUILLO DE SOPORTE DE BALANCIN Y COLOCACION DE EJE ;4;0;01;16;4;22,97669;02;005
101;28/09/1998;98;000007;DESMONTAR RADIADOR DE ACEITE, SOLDADURA Y MONTAJE.;6;0;01;16;4;22,97669;03;005
800;28/09/1998;98;000009;QUITAR BOMBA DE GIRO DE MAQUINA Y MONTAJE DE LA MISMA.;3;0;01;16;4;21,63644;01;005
101;28/09/1998;98;000009;DESMONTAJE Y REVISION DE BOMBA EN TALLER.;1;0;01;16;4;21,63644;01;010
101;30/09/1998;98;000010;Desmontar y limpieza;1;0;01;16;4;19,53289;01;005
800;29/09/1998;98;000012;REVISION DE ALTERNADOR, COMPROBACION DEL MISMO, REPARACION EN EL TALLER Y MONTAJE EN MAQUINA.;7,5;0;01;16;4;21,63644;01;005
101;23/09/1998;98;000013;DESMONTAR REPARACION Y MONTAJE DE SERVO.;67;0;01;16;4;22,97669;01;005
101;23/09/1998;98;000013;MONTAJE DE RETENES Y COLOCACION DE EJE.;4;0;01;16;4;22,97669;02;005
101;23/09/1998;98;000013;SOLDADURA DE RADIADOR Y MONTAJE.;6;0;01;16;4;22,97669;03;005
101;30/10/1998;98;000016;DESMONTAR CARENAJE, MOTOR Y SACAR SERVOTRANSMISION PARA SU REPARACION ;55;0;01;16;4;19,53289;01;005
101;30/10/1998;98;000016;DESPIECE DE SERVO, LIMPIEZA, REPARACION Y MONTAJE DE LA MISMA.;40;0;01;16;4;19,53289;01;010
101;30/10/1998;98;000016;MONTAJE Y COLOCACION EN MAQUINA DE CARENAJE DE MAQUINA, MOTOR, SERVO Y TOMA DE PRESIONES. ;50;0;01;16;4;19,53289;01;015
101;30/10/1998;98;000016;DESMONTAR TURBO Y COLOCACION DE NUEVO EN OR;2;0;01;16;4;19,53289;02;005
